[Info  - 18:28:29] Angular language server process ID: 6845
[Info  - 18:28:29] Using typescript/lib/tsserverlibrary v4.0.2 from /home/hadad/.vscode-oss/extensions/angular.ng-template-0.1001.0/node_modules/typescript/lib/tsserverlibrary.js
[Info  - 18:28:29] Using @angular/language-service v10.1.1 from /home/hadad/.vscode-oss/extensions/angular.ng-template-0.1001.0/server/node_modules/@angular/language-service/bundles/language-service.js
[Info  - 18:28:29] Log file: /home/hadad/.config/Code - OSS/logs/20201023T182824/exthost1/Angular.ng-template/nglangsvc.log
[Info  - 18:28:38] Disabling language service for /home/hadad/paginas/angular-tour-of-heroes/tsconfig.json because it is not an Angular project ('@angular/core/core.d.ts' could not be found). If you believe you are seeing this message in error, please reinstall the packages in your package.json.
[Info  - 18:28:38] Enabling language service for /home/hadad/paginas/angular-tour-of-heroes/tsconfig.app.json.
[Info  - 18:29:01] Enabling language service for /home/hadad/paginas/angular-tour-of-heroes/tsconfig.spec.json.
[Error - 18:29:01] No config file for /home/hadad/paginas/angular-tour-of-heroes/src/app/messages/messages.component.html
[Error - 18:29:12] No config file for /home/hadad/paginas/angular-tour-of-heroes/src/app/app.component.html
[Error - 18:42:26] No config file for /home/hadad/paginas/angular-tour-of-heroes/src/app/dashboard/dashboard.component.html
[Error - 18:44:12] No config file for /home/hadad/paginas/angular-tour-of-heroes/src/app/app.component.html
[Error - 18:44:14] No config file for /home/hadad/paginas/angular-tour-of-heroes/src/app/app.component.html
[Error - 18:47:56] No config file for /home/hadad/paginas/angular-tour-of-heroes/src/app/app.component.html
